delay_type,pooled_effect,effect_se,hdi_2.5,hdi_97.5,tau,tau_hdi_2.5,tau_hdi_97.5,n_studies,r_hat_mu,r_hat_tau,samples,method
Patient delay (days),15.50818157196045,2.818751096725464,9.857150077819824,20.906816482543945,0.8883576989173889,0.19048386812210083,2.300966262817383,3,,,"{'mu': Array([16.962444, 16.654951, 16.654951, ..., 13.583124, 14.115993,
       13.450567], dtype=float32), 'tau': Array([0.25954163, 0.22815916, 0.22815916, ..., 1.1762328 , 1.4710815 ,
       1.2123687 ], dtype=float32), 'theta': Array([[16.92158 , 16.89697 , 17.110525],
       [16.646137, 16.557924, 16.63274 ],
       [16.646137, 16.557924, 16.63274 ],
       ...,
       [13.539872, 13.245863, 14.27883 ],
       [13.877741, 13.564607, 14.887201],
       [14.002703, 12.812954, 15.013735]], dtype=float32)}",NumPyro
Diagnostic delay (days),20.859508514404297,4.191869735717773,12.13918685913086,28.667224884033203,0.9667288064956665,0.25629839301109314,2.3630268573760986,3,,,"{'mu': Array([16.95819 , 18.923317, 23.160189, ..., 32.07388 , 29.839725,
       29.230186], dtype=float32), 'tau': Array([0.7830037 , 1.2009507 , 0.4039023 , ..., 1.734184  , 0.80016285,
       0.73260707], dtype=float32), 'theta': Array([[16.998745, 16.287218, 17.150806],
       [18.648874, 19.948986, 17.93232 ],
       [22.99084 , 23.700514, 22.468307],
       ...,
       [33.93369 , 30.60939 , 31.82485 ],
       [29.032623, 30.462624, 29.795494],
       [29.32839 , 29.525421, 29.904036]], dtype=float32)}",NumPyro
Total delay (days),31.253623962402344,4.9499688148498535,21.82708168029785,41.13716506958008,0.9998196363449097,0.3110881447792053,2.3552041053771973,5,,,"{'mu': Array([28.109016, 28.687008, 28.25293 , ..., 41.524876, 44.492405,
       43.767616], dtype=float32), 'tau': Array([0.75990325, 0.69102246, 0.74373674, ..., 1.4936894 , 1.0785087 ,
       0.9842447 ], dtype=float32), 'theta': Array([[28.382599, 28.559908, 28.576479, 28.437593, 28.493156],
       [27.867157, 28.97906 , 27.215368, 28.56719 , 29.80533 ],
       [27.32225 , 28.82428 , 27.78065 , 29.285835, 29.618977],
       ...,
       [40.625576, 43.12276 , 43.0922  , 42.06859 , 40.812706],
       [45.573772, 44.359013, 43.548897, 43.218975, 45.083355],
       [45.432983, 43.561375, 43.861183, 43.622883, 44.65814 ]],      dtype=float32)}",NumPyro
