state_ut,children_under_5_years_who_are_stunted_(height-for-age)18_(%),children_under_5_years_who_are_underweight_(weight-for-age)18_(%),children_under_5_years_who_are_wasted_(weight-for-height)18_(%),children_age_6-59_months_who_are_anaemic_(<11.0_g/dl)22_(%),men_age_15_years_and_above_who_use_any_kind_of_tobacco_(%),women_age_15_years_and_above_who_use_any_kind_of_tobacco_(%),men_age_15_years_and_above_who_consume_alcohol_(%),population_living_in_households_that_use_an_improved_sanitation_facility2_(%),households_using_clean_fuel_for_cooking3_(%),source_dataset
Haryana,26.538636363636364,20.905454545454543,11.539545454545454,69.61727272727272,29.09363636363636,2.5309090909090908,15.90318181818182,85.03090909090909,57.82818181818182,nfhs
Himachal Pradesh,31.54083333333333,24.674166666666665,16.103333333333335,59.94,33.4525,1.82,33.73583333333333,80.8925,53.64666666666667,nfhs
Jammu & Kashmir,26.141,21.0795,19.231,73.18350000000001,39.812,4.0015,7.6855,73.7615,63.282,nfhs
Jharkhand,40.1775,40.38916666666667,23.09583333333333,68.21208333333333,48.594166666666666,9.093333333333334,37.38583333333333,55.30375,28.04125,nfhs
Karnataka,34.574666666666666,31.295333333333332,19.22533333333333,64.56,27.721666666666668,9.673333333333334,16.942,74.596,76.08066666666667,nfhs
Kerala,23.275714285714287,19.36428571428572,15.051428571428572,38.294285714285714,18.032857142857143,2.7235714285714288,20.669285714285717,98.59785714285714,70.2192857142857,nfhs
Ladakh,30.395,20.365,17.46,91.665,35.74,3.1450000000000005,23.735,42.32,75.775,nfhs
Lakshadweep,32.02,25.78,17.35,43.08,28.49,17.53,0.44,99.8,59.43,nfhs
Madhya Pradesh,34.66274509803922,31.944117647058825,18.22078431372549,67.36980392156863,47.10803921568628,10.558235294117647,17.701176470588234,64.16470588235295,37.56392156862745,nfhs
Maharastra,35.10638888888889,36.4375,25.787777777777777,70.3375,37.8175,11.943888888888887,15.079722222222223,71.6463888888889,73.48027777777777,nfhs
Manipur,24.61333333333333,13.746666666666666,9.934444444444445,41.964444444444446,60.89888888888889,42.27444444444445,37.376666666666665,71.34777777777778,59.02222222222223,nfhs
Meghalaya,42.99818181818182,25.439090909090908,13.696363636363635,41.93,59.27,27.866363636363637,34.480909090909094,83.3790909090909,26.654545454545453,nfhs
Mizoram,29.2875,13.29125,10.03875,46.025,73.76375,62.62875,25.36,94.145,75.68875,nfhs
Nagaland,33.15636363636364,26.536363636363635,18.10363636363636,42.97363636363636,49.054545454545455,12.466363636363637,23.389090909090907,88.21363636363637,33.48909090909091,nfhs
Nct Of Delhi,30.70181818181818,22.12454545454545,11.717272727272729,69.16272727272727,26.334545454545456,2.307272727272727,21.62454545454545,81.08454545454545,98.90727272727273,nfhs
Odisha,31.645333333333333,30.244,18.46433333333333,64.65066666666667,51.3,25.421333333333333,29.66333333333333,59.641666666666666,32.33266666666667,nfhs
