state,pn_ratio,in_ratio,symptomatic_no_care_pct,poverty_pct,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,pn_ratio_weighted_influence,poverty_pct_weighted_influence,composite_risk_score,priority_rank
Jharkhand,0.0004562081277331,1.021712783572026,44.69625,71.95875,-3.177566722425416,0.0095607323810219,0.0703782784117202,0.4863582145982501,0.5444266982736804,0.0403382116060822,0.4717919275439661,-0.0311946796049465,0,8.333333333333332,34.99668248325109,1
Bihar,0.000439406641677,1.0214445364885354,50.52789473684211,63.64236842105263,-3.5783758535154315,-0.5159048817632182,-0.5659576246902843,0.461994392402929,0.8009836896053901,0.7628917789974983,-0.1460599746233624,-0.284955116120758,0,8.333333333333332,34.251254710025094,2
odisha,0.0006335831510834,1.0384550891509698,40.35833333333333,67.66733333333333,-1.6198072911278645,1.2508347882700284,0.9449555946006788,-0.3335466047777046,0.6480864655551268,0.2539465113171625,0.5773160354979573,-0.0333521765389768,0,8.333333333333332,32.40795343326043,3
Chhattisgarh,0.0005590337189649,1.042435374517166,27.20037037037038,71.74444444444444,-1.4925468993961333,0.8754000574016296,-0.1490560293517736,-0.2544838155299671,0.2646535345607855,-0.6708463127028277,0.1487017215308738,-0.3103629874077997,0,8.333333333333332,29.683668057932028,4
Madhya Pradesh,0.0003807290982085,1.033336352930519,35.83529411764705,62.43607843137255,-1.9912829933518648,0.1233606447462306,-0.0086988385852129,-0.0569384121639601,0.4956430507208655,-0.1046731333867241,0.0474375740669219,-0.0772793144075314,0,8.333333333333332,29.481564056345164,5
West Bengal,0.0008068134378021,1.0465763288819063,32.8775,60.709,-0.7975283608063735,1.0562434890872494,-0.1738182758149801,-0.2127606847400437,0.7215238016555567,0.1642793868401981,0.2729678674239949,0.1345167951747491,0,8.333333333333332,28.07627272537512,6
Rajasthan,0.0003454675352769,1.0207830500883326,31.427575757575767,61.69818181818182,-2.190433861559157,-0.1313352428528338,0.3645920091767223,0.0205056677554824,-0.3282852619355286,-0.1561566790509888,0.104965320640557,-0.2534254529732014,0,8.333333333333332,27.93786545974139,7
Assam,0.0005499643972681,1.0333478355449206,29.896666666666675,60.08030303030304,-1.3076389814628424,0.6425172614441967,0.479391190790172,-0.2964890807344931,-0.0546604008640797,-0.0094726268795417,0.1555494396804484,-0.1488255075335423,0,8.333333333333332,26.99331089484982,8
Meghalaya,0.0005631884813894,1.042174320524836,16.620909090909095,73.34545454545454,-1.2530598576161944,0.5475981542868754,-1.1278290016324208,-0.2161752822340146,-0.1924136066343253,-1.157388076795674,-0.0445025071302659,-0.2742420754538811,0,8.333333333333332,26.990134366301646,9
Tripura,0.0009413353134657,1.04775458570525,28.39125,59.295,0.2662684450176155,0.924057889152067,-0.8916787037805154,-0.7010210100169254,0.6130661081040414,0.6298694246642154,0.7022919737897277,0.4169638990083124,0,8.333333333333332,26.306251534125387,10
Uttar Pradesh,0.0002556759211476,1.0224732055708403,31.024,52.928133333333335,-2.47151682092078,-0.31622353983771,0.1250003364877696,0.7295253291369307,-0.0705886788596648,-0.6782996375823205,-0.344120474289716,0.5756413923967709,0,8.333333333333332,25.185742270368458,11
Nagaland,0.0004326384933168,1.0251012145748988,11.786363636363632,66.51090909090908,-0.3246967095565407,-0.4275414751084846,-1.2421864610043545,-0.8948708580911982,-1.0002989859604778,-0.3617572707399376,0.6251049115364714,-0.0531462621499017,0,8.333333333333332,23.48935487357914,12
Manipur,0.0010002950512257,1.028966709900562,28.65222222222222,40.97777777777777,-0.6302490268234228,-1.171879695093819,-2.5018167309722505,0.7772607383531352,0.3537929938608742,0.8737923410864833,-0.0552205630526495,0.2814117032531361,0,8.333333333333332,20.889400118020486,13
