state,pn_ratio,in_ratio,symptomatic_no_care_pct,poverty_pct,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,pn_ratio_weighted_influence,poverty_pct_weighted_influence,composite_risk_score,priority_rank
Andhra Pradesh,0.0009879174991263,1.0174156250450528,23.303076923076915,17.136153846153846,-0.518513015550044,0.2809936130158519,1.7038190273359135,1.257952741332648,-1.2075724693901395,0.470943308656175,-0.7061742327702745,0.2054388226651901,0,8.333333333333332,12.132164397768879,24
Sikkim,0.0004534115367877,1.030247479376719,12.632499999999991,27.537499999999994,0.7373102857355264,-0.5979604946523409,-0.3368682981461778,-0.2450101278511632,-0.7178587378566661,0.0362618841890013,-0.3205852196586194,0.7939527254140442,0,8.333333333333332,12.05118136461471,25
Punjab,0.000408454766404,1.0372349125006814,13.503181818181815,25.27727272727272,0.8678496919215909,-0.8369190227242349,0.0281794079028353,0.0024271714468255,-0.2616991000666082,-0.3123939667893622,-0.5181732011101524,-0.0499267929293504,0,8.333333333333332,11.634299745542922,26
Kerala,0.0015542774493113,1.0884396715097917,1.402142857142863,29.780714285714296,3.804592295925701,2.141051131018878,-0.7401262262857924,-0.1721462331675274,0.772553401938336,-0.6424668498450673,-0.3791181328314832,0.0304804940338817,0,8.333333333333332,9.355478853836871,27
Mizoram,0.0004157740205542,1.047708138447147,5.855000000000004,24.31125,1.8652951304181309,-1.2870251145518852,-1.8268101392016245,-0.2809602919225749,0.122111179971176,-0.4585762937665184,-0.4942035274936219,0.6114359361655077,0,8.333333333333332,9.050041309608224,28
delhi,0.0001320957680941,1.0147915776387864,18.91545454545455,1.0927272727272737,1.8374766050750675,-3.304921836327141,0.6358692262300071,0.8628040199893332,0.0779635708046331,0.1223127391391479,0.4955718184720016,0.1957471497737741,0,8.333333333333332,6.002507383761785,29
Chandigarh,0.0001424921415508,1.0214964172637893,15.019999999999996,4.189999999999998,2.555366285022972,-3.5739314389810724,0.8835948129465382,1.1078488596945928,0.4650200483186305,-0.5641871098352121,0.913869383771066,-0.4983129609395898,0,8.333333333333332,5.763056996856618,30
Goa,0.000688619672488,1.068181818181818,12.045000000000002,3.5349999999999966,3.9852225448174594,-0.5490208128389811,0.4135525870719181,-0.6723445228159617,1.0451620422617094,0.3740218039846433,-0.4163622453259014,-0.6911825756921394,0,8.333333333333332,4.674275447868994,31
Dadra And Nagar Haveli,,,,,,,,,,,,,0,8.333333333333332,,32
Daman And Diu,,,,,,,,,,,,,0,8.333333333333332,,33
Ladakh,,1.0192307692307692,57.68,24.224999999999994,,,,,,,,,0,8.333333333333332,,34
Maharashtra,0.0004519582208932,1.0301280778395552,,,,,,,,,,,0,8.333333333333332,,35
Maharastra,,,28.353611111111107,26.519722222222228,,,,,,,,,0,8.333333333333332,,36
Puducherry,,1.0301305657850686,11.829999999999998,8.592500000000001,,,,,,,,,0,8.333333333333332,,37
dadra & nagar haveli and daman & diu,,1.0034100596760442,26.720000000000013,16.10000000000001,,,,,,,,,0,8.333333333333332,,38
puducherry,,,,,,,,,,,,,0,8.333333333333332,,39
telangana,,1.0131120136866438,25.381935483870976,9.6351612903226,,,,,,,,,0,8.333333333333332,,40
