state,poverty_pct_value,poverty_pct_influence,poverty_pct_weighted_influence,literacy_pct_value,literacy_pct_influence,literacy_pct_weighted_influence,symptomatic_no_care_pct_value,symptomatic_no_care_pct_influence,symptomatic_no_care_pct_weighted_influence,private_first_provider_pct_value,private_first_provider_pct_influence,private_first_provider_pct_weighted_influence,bact_confirmed_pct_value,bact_confirmed_pct_influence,bact_confirmed_pct_weighted_influence,crowding_index_value,crowding_index_influence,crowding_index_weighted_influence,in_ratio_value,in_ratio_influence,in_ratio_weighted_influence,pn_ratio_value,pn_ratio_influence,pn_ratio_weighted_influence
Andhra Pradesh,17.136153846153846,4,8.333333333333332,59.77334542575791,5,11.5,23.303076923076915,1,1.5,3.1919989360420296,1,1.0,95.5621680053003,2,4.166666666666667,3.304582544181683,2,2.833333333333333,1.0174156250450528,1,1.5,0.0009879174991263,0,0
Arunachal Pradesh,47.719,4,8.333333333333332,55.35810170647822,5,11.5,15.46950000000001,1,1.5,2.5228747739121182,1,1.0,74.75057559478128,2,4.166666666666667,3.6805165443132246,2,2.833333333333333,1.0287229341581972,1,1.5,0.0004953848690357,0,0
Assam,60.08030303030304,4,8.333333333333332,61.45689155040753,5,11.5,29.896666666666675,1,1.5,1.8107768546663108,1,1.0,89.43403746512556,2,4.166666666666667,3.438819294015331,2,2.833333333333333,1.0333478355449206,1,1.5,0.0005499643972681,0,0
Bihar,63.64236842105263,4,8.333333333333332,50.43691584466746,5,11.5,50.52789473684211,1,1.5,0.7703929595603167,1,1.0,84.23115654066461,2,4.166666666666667,4.44590652852993,2,2.833333333333333,1.0214445364885354,1,1.5,0.000439406641677,0,0
Chandigarh,4.189999999999998,4,8.333333333333332,76.31228385996495,5,11.5,15.019999999999996,1,1.5,22.56382240663344,1,1.0,77.96523517382413,2,4.166666666666667,3.537422033938069,2,2.833333333333333,1.0214964172637893,1,1.5,0.0001424921415508,0,0
Chhattisgarh,71.74444444444444,4,8.333333333333332,60.20670499402666,5,11.5,27.20037037037038,1,1.5,2.149951269830135,1,1.0,89.13350946014464,2,4.166666666666667,3.756818583908764,2,2.833333333333333,1.042435374517166,1,1.5,0.0005590337189649,0,0
Dadra And Nagar Haveli,,4,8.333333333333332,64.94738281511395,5,11.5,,1,1.5,3.3727696423154354,1,1.0,,2,4.166666666666667,3.159583758491676,2,2.833333333333333,,1,1.5,,0,0
Daman And Diu,,4,8.333333333333332,77.45460375667531,5,11.5,,1,1.5,4.060981440914499,1,1.0,,2,4.166666666666667,2.704878292875491,2,2.833333333333333,,1,1.5,,0,0
Goa,3.5349999999999966,4,8.333333333333332,79.9075105670377,5,11.5,12.045000000000002,1,1.5,12.446625111432546,1,1.0,75.47997805814592,2,4.166666666666667,2.529640189946963,2,2.833333333333333,1.068181818181818,1,1.5,0.000688619672488,0,0
Gujarat,40.15787878787879,4,8.333333333333332,67.99068069374013,5,11.5,28.27,1,1.5,4.371500162919146,1,1.0,91.56522128784596,2,4.166666666666667,3.4489607698685747,2,2.833333333333333,1.0373094579856443,1,1.5,0.0004139845477606,0,0
