state,population,male,female,literate,male_literate,female_literate,workers,male_workers,female_workers,main_workers,marginal_workers,non_workers,rural_households,urban_households,households,housholds_with_electric_lighting,households_with_internet,households_with_computer,households_with_telephone_mobile_phone,households_with_telephone_mobile_phone_mobile_only,households_with_telephone_mobile_phone_landline_only,households_with_television,households_with_bicycle,households_with_car_jeep_van,households_with_scooter_motorcycle_moped,households_with_separate_kitchen_cooking_inside_house,having_bathing_facility_total_households,having_latrine_facility_within_the_premises_total_households,ownership_owned_households,ownership_rented_households,type_of_latrine_facility_flush_pour_flush_latrine_connected_to_other_system_households,type_of_latrine_facility_pit_latrine_households,households_with_tv_computer_laptop_telephone_mobile_phone_and_scooter_car,literacy_rate_pct,female_sex_ratio_per_1000_males,urbanization_pct,owned_house_pct,internet_access_pct,electricity_access_pct,source_dataset
KARNATAKA,61095297,30966657,30128640,40647322,22508471,18138851,27872597,18270116,9602481,23397181,4475416,33222700,10620687,7378379,17999066,11945467,638468,1692253,9433399,7450784,920192,7911490,4465369,833478,3374302,12567276,11372249,6749396,9786047,3033730,155429,1789119,917186,66.5310162908284,972.9380862777664,40.993121531972825,54.369748963640674,3.5472285061902658,66.36714927319007,census
KERALA,33406061,16027412,17378649,28135824,13704903,14430921,11619063,8451569,3167494,9329747,2289316,21786998,5857785,5360068,11217853,7284706,483609,1214644,6919494,3608956,893306,5929498,1577993,788957,1857699,7421600,6618914,7345977,6996527,563891,342003,2183566,665427,84.2237101824127,1084.3078720382305,47.78158529978954,62.36957285854968,4.311065584475033,64.93850472100142,census
LAKSHADWEEP,64473,33123,31350,52553,28023,24530,18753,15318,3435,10804,7949,45720,5289,15953,21242,10669,327,1501,10023,4977,870,6855,9027,245,4109,7325,10394,10467,8934,1582,45,43,842,81.51164053169543,946.4722398333485,75.10121457489879,42.05818661143019,1.5394030693908296,50.22596742302985,census
MADHYA PRADESH,72626809,37612306,35014503,42851169,25174328,17676841,31574133,20146970,11427163,22702119,8872014,41052676,13453987,5044776,18498763,10044644,212473,883603,6886675,6074734,359303,4811219,5947760,401774,2815403,14338709,7063671,4313282,13602044,1002274,187638,347169,426457,59.00186114469107,930.932099722894,27.270882923360872,73.52947870081907,1.1485795023159115,54.29900366851557,census
MAHARASHTRA,112374333,58243056,54131277,81554290,45257584,36296706,49427878,32616875,16811003,43762890,5664988,62946455,17519193,16050569,33569762,20004164,1379351,3174031,16458761,12799041,1495311,13525610,7264830,1407482,5941782,21818504,20351899,12653950,19331240,3757010,389057,2089655,1726271,72.5737700262924,929.403103436056,47.81257907041462,57.58527570138865,4.108909083120697,59.5898296806513,census
MANIPUR,2855794,1438586,1417208,1908476,1039858,868618,1304610,739408,565202,974163,330447,1551184,397837,212127,609964,346635,10886,45707,291705,265308,15423,240325,226207,30423,100452,463270,259448,452865,474799,24691,80450,175563,19524,66.8282095977511,985.1395745544584,34.776970444157364,77.84049550465272,1.7846954902256529,56.82876366474087,census
MEGHALAYA,2966889,1491832,1475057,1785005,913879,871126,1185619,703709,481910,921575,264044,1781270,553593,167874,721467,327958,8079,40872,231409,210473,8231,181191,71766,28837,28858,425544,213180,338650,441123,84063,46433,125335,13553,60.16419893025995,988.7554362689632,23.268423919597154,61.14250547842105,1.1198017372935976,45.4571033740975,census
MIZORAM,1097206,555339,541867,848175,438529,409646,486705,290740,195965,415030,71675,610501,123347,146084,269431,186155,5605,33650,160756,141254,3694,121725,9425,16072,30575,217960,165969,203185,145538,70292,14706,67604,17044,77.30316822912015,975.740943819901,54.21944765079,54.01679836395961,2.080309986601393,69.09190108042505,census
NAGALAND,1978502,1024649,953853,1342434,723957,618477,974122,547357,426765,741179,232943,1004380,360385,174039,534424,326405,6935,35732,212226,194245,5328,151670,31453,31132,25274,366130,329843,306068,295232,85389,40028,110689,13272,67.85103072930934,930.9070715923208,32.56571561157433,55.243028007724206,1.297658787778992,61.07603700432615,census
NCT OF DELHI,16787941,8987326,7800615,12737767,7194856,5542911,5587049,4762026,825023,5307329,279720,11200892,124422,4481133,4605555,3310809,588951,972948,3031775,2279781,171323,2939423,1022199,692279,1298383,3284487,3042184,2990741,2279303,941459,31092,59339,766847,75.87450420513153,867.9572767250237,97.29843634480537,49.4903003003981,12.787839902031353,71.8872969707234,census
ORISSA,41974218,21212136,20762082,26742595,15089681,11652914,17541589,11902655,5638934,10707543,6834046,24432629,10554975,2204158,12759133,4155886,135393,491066,3846884,3441856,176200,2581277,5894822,172660,1401091,7836340,1901958,2129296,8728383,645697,150103,337593,203125,63.71195527692738,978.7831833625808,17.275139306095486,68.40890364572577,1.0611457690738078,32.57185264860865,census
PONDICHERRY,1247953,612511,635442,957309,497378,459931,444968,332931,112037,399689,45279,802985,122914,265085,387999,294205,18086,40958,243629,188881,15439,246521,155259,16879,140352,268875,251494,206221,195610,93807,930,2318,31804,76.71034085418282,1037.437694996498,68.32105237384633,50.415078389377285,4.661352219979949,75.8262263562535,census
PUNJAB,27743338,14639465,13103873,18707137,10436056,8271081,9897362,8074157,1823205,8450936,1446426,17845976,4668757,3178690,7847447,5225793,292111,690096,4442740,3368428,361086,4468245,3589937,709711,2566796,5128940,4810358,4289132,4807947,474187,178623,1040419,543122,67.42929419668246,895.1060028491479,40.506039734960936,61.26765813136426,3.72236983569306,66.59226879773766,census
RAJASTHAN,68548437,35550997,32997440,38275282,23688412,14586870,29886255,18297076,11589179,21057968,8828287,38662182,13296654,4774309,18070963,8430040,226501,869923,8882714,7861580,312904,4727542,3598136,586254,3026614,10862876,6985550,4399688,11728014,673787,232167,816719,447438,55.8368413272501,928.1720003520576,26.419781834537535,64.8997731886231,1.2533975084781035,46.64964451534763,census
SIKKIM,610577,323070,287507,444952,251269,193683,308138,194358,113780,230397,77741,302439,115395,53627,169022,118578,4284,14834,93491,86696,2249,70100,1135,10599,3630,94071,87865,111734,82619,39144,4384,15365,5021,72.8740191654779,889.9216887980933,31.72782241365029,48.880619091005904,2.534581297109252,70.15536439043439,census
TAMIL NADU,72147030,36137975,36009055,51837507,28040491,23797016,32884681,21434978,11449703,27942181,4942500,39262349,11937264,11229457,23166721,17265059,772257,1956630,13850821,11482800,1052287,16080190,8365803,794957,5977406,15034329,11867682,8930581,13786507,4321071,209644,1102422,1174257,71.84981419193555,996.4325615920648,48.47236257561007,59.50996258814529,3.3334756351578627,74.52525974651311,census
TRIPURA,3673917,1874376,1799541,2804783,1501369,1303414,1469521,1045326,424195,1077019,392502,2204396,748686,318177,1066863,576787,8612,61956,405115,360143,17491,377988,331560,18443,69463,763705,270754,725092,774211,46693,60238,507359,12784,76.34312370148808,960.0747128644412,29.82360434282565,72.56892403242028,0.8072264198870894,54.06383012626739,census
UTTAR PRADESH,199812341,104480510,95331831,114397555,68234964,46162591,65814715,49846762,15967953,44635492,21179223,133997626,34726215,10446228,45172443,12120231,609773,2664447,22036666,20149607,1097897,10935311,22329804,1250106,6455749,29938454,18163265,11736853,31178985,1353666,581471,1376353,932537,57.2524972318902,912.4365013149344,23.125222605295004,69.02213590706174,1.3498782875214432,26.831028377190048,census
UTTARAKHAND,10086292,5137773,4948519,6880953,3863708,3017245,3872275,2551921,1320354,2870624,1001651,6214017,2512569,870841,3383410,1738175,63032,218358,1489596,1294045,63362,1237708,624922,124006,457054,1757046,1384562,1313561,1655435,247492,28314,237050,125209,68.22083873835896,963.1641958490576,25.738559618846075,48.928004587088175,1.8629725631832972,51.373466414061554,census
WEST BENGAL,91276115,46809027,44467088,61538281,33818810,27719471,34756355,26716047,8040308,25686630,9069725,56519760,16953359,8390356,25343715,10935123,443642,1668757,9879111,8616602,454850,7091740,11475393,448500,1710291,17522869,7197797,11809375,17915385,1470642,1128546,5128672,400966,67.41991702867722,949.9682187369542,33.10625928361331,70.68965619286675,1.7505010611112066,43.1472773427258,census
