state,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
Andhra Pradesh,-0.518513015550044,0.28099361301585196,1.7038190273359137,1.2579527413326481,-1.2075724693901395,0.47094330865617506,-0.7061742327702745,0.20543882266519017
Arunachal Pradesh,-0.5840196830699168,-0.8570977557809655,-1.2308658137266806,-0.6103239675608361,-0.8710308667909714,0.2504313074748671,-0.6422970302594296,-1.0357084662399323
Assam,-1.3076389814628424,0.6425172614441967,0.479391190790172,-0.2964890807344931,-0.054660400864079785,-0.009472626879541712,0.1555494396804484,-0.1488255075335423
Bihar,-3.5783758535154315,-0.5159048817632182,-0.5659576246902843,0.46199439240292905,0.8009836896053901,0.7628917789974983,-0.14605997462336245,-0.284955116120758
Chandigarh,2.5553662850229717,-3.5739314389810724,0.8835948129465382,1.1078488596945928,0.4650200483186305,-0.5641871098352121,0.9138693837710661,-0.4983129609395898
Chhattisgarh,-1.4925468993961333,0.8754000574016296,-0.14905602935177362,-0.25448381552996713,0.2646535345607855,-0.6708463127028277,0.1487017215308738,-0.3103629874077997
Goa,3.9852225448174594,-0.5490208128389811,0.4135525870719181,-0.6723445228159617,1.0451620422617094,0.37402180398464335,-0.4163622453259014,-0.6911825756921394
Gujarat,-0.373754972985294,0.2580921253208564,1.0126038559951827,0.05682113307334042,0.299451211755351,-0.20508958285484824,-0.03546736227012297,0.46863753214547577
Haryana,-0.09113012317827655,-0.429745471972852,0.492304613741567,-0.05610878578151921,-0.5122265526250342,-0.8503896624363106,-0.10321250865236825,0.10924888976640829
Himachal Pradesh,1.1071239015897298,1.2852082137515706,1.285043974940942,-1.676697582242402,-0.04239294499439403,0.09982165967244148,0.07586141998717734,-0.015388862833020432
Jammu And Kashmir,-1.011628052070062,-0.054631041161893025,0.3788404073642049,0.32006001677328194,-0.7187615875304991,0.6120705369493895,-0.5832465698652981,-0.44620608479763657
Jharkhand,-3.1775667224254156,0.009560732381021972,0.0703782784117202,0.4863582145982501,0.5444266982736804,0.0403382116060822,0.4717919275439661,-0.03119467960494655
Karnataka,0.6497242856339032,0.4729569469519598,0.5259644864002517,0.25573584680202777,0.7963176591664379,0.06123336286573332,-0.8886737402447494,-0.05265225024652363
Kerala,3.804592295925701,2.141051131018878,-0.7401262262857924,-0.17214623316752747,0.772553401938336,-0.6424668498450673,-0.3791181328314832,0.030480494033881745
Lakshadweep,3.257578100543034,4.14310758461129,-0.761506458997738,2.2989648862760115,-0.8708257388967056,0.18806660231179215,0.6622422374294812,-0.2529148434197331
Madhya Pradesh,-1.9912829933518652,0.12336064474623061,-0.008698838585212955,-0.056938412163960145,0.4956430507208655,-0.1046731333867241,0.047437574066921964,-0.07727931440753148
Manipur,-0.6302490268234228,-1.171879695093819,-2.5018167309722505,0.7772607383531352,0.3537929938608742,0.8737923410864833,-0.05522056305264957,0.2814117032531361
Meghalaya,-1.2530598576161944,0.5475981542868754,-1.1278290016324208,-0.21617528223401464,-0.19241360663432538,-1.1573880767956741,-0.044502507130265975,-0.2742420754538811
Mizoram,1.8652951304181307,-1.2870251145518852,-1.8268101392016243,-0.2809602919225749,0.12211117997117601,-0.4585762937665184,-0.4942035274936219,0.6114359361655077
Nagaland,-0.3246967095565407,-0.42754147510848467,-1.2421864610043543,-0.8948708580911982,-1.0002989859604778,-0.36175727073993763,0.6251049115364714,-0.053146262149901737
Punjab,0.8678496919215909,-0.8369190227242349,0.02817940790283532,0.002427171446825592,-0.26169910006660824,-0.31239396678936227,-0.5181732011101524,-0.04992679292935047
Rajasthan,-2.190433861559157,-0.13133524285283382,0.3645920091767223,0.020505667755482484,-0.32828526193552865,-0.15615667905098887,0.104965320640557,-0.2534254529732014
Sikkim,0.7373102857355264,-0.5979604946523409,-0.3368682981461778,-0.24501012785116325,-0.7178587378566661,0.03626188418900133,-0.3205852196586194,0.7939527254140442
Tamil Nadu,0.8959639776596519,0.4516282612338318,1.0974903951666564,0.09468174288185253,0.7058315397373486,0.4547435683364642,-0.4564611163939081,0.36793143858221194
Tripura,0.26626844501761554,0.924057889152067,-0.8916787037805154,-0.7010210100169254,0.6130661081040414,0.6298694246642154,0.7022919737897277,0.4169638990083124
Uttar Pradesh,-2.47151682092078,-0.31622353983771007,0.12500033648776962,0.7295253291369307,-0.07058867885966481,-0.6782996375823205,-0.34412047428971604,0.5756413923967709
Uttarakhand,-0.0471728714874587,0.33589711885459217,1.0805889401038755,-0.7699945842663766,-0.7300487167725094,-0.39554608009298226,0.37356381183365656,0.10241282435652481
West Bengal,-0.7975283608063735,1.0562434890872494,-0.17381827581498013,-0.21276068474004373,0.7215238016555567,0.16427938684019816,0.2729678674239949,0.1345167951747491
andaman & nicobar islands,1.6311505475426908,-0.7443701878806978,0.03504945752284996,-1.2830689166199727,-1.1479233471123385,1.1722188546670198,0.5066429627676208,0.21525680655247773
delhi,1.8374766050750675,-3.3049218363271415,0.6358692262300071,0.8628040199893332,0.07796357080463318,0.12231273913914793,0.4955718184720016,0.19574714977377417
odisha,-1.6198072911278643,1.2508347882700284,0.9449555946006788,-0.3335466047777046,0.6480864655551268,0.2539465113171625,0.5773160354979573,-0.033352176538976826
